id,title,posted_at,listing_type,link,status
10287,Nachmieter gesucht,2025-09-15T07:07:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10287,ACTIVE
10285,"Lerchenrain 9 helles, grosses Zimmer",2025-09-10T18:16:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10285,INACTIVE
10284,Short term sublet (18/09/25-25/10/25),2025-09-10T10:39:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10284,ACTIVE
10283,Nachmieter gesucht,2025-09-10T09:11:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10283,INACTIVE
10282,Studio sublet september to 1st december,2025-09-09T11:34:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10282,ACTIVE
10281,Nachmieter gesucht,2025-09-09T08:22:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10281,INACTIVE
10280,Nachmieter gesucht,2025-09-04T09:51:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10280,INACTIVE
10279,Main tenant from October 15th,2025-09-03T10:34:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10279,INACTIVE
10278,Nachmieter gesucht,2025-09-03T09:24:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10278,INACTIVE
10275,New tenant for a room in Seebach,2025-08-29T10:57:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10275,INACTIVE
10274,Looking for a main tenant from October 1st,2025-08-26T17:49:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10274,INACTIVE
10272,"Lagerraum zu vermieten – Bucheggstrasse 4–12, 1. UG 80005",2025-08-22T12:41:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10272,INACTIVE
10270,"Lagerraum zu vermieten – Bucheggstrasse 4–12, 2. UG 60004",2025-08-22T12:35:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10270,INACTIVE
10269,"Lagerraum zu vermieten – Bucheggstrasse 4–12, 2. UG 40005",2025-08-22T12:28:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10269,INACTIVE
10267,Studio sublet for 1 month or less,2025-08-21T13:50:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10267,INACTIVE
10266,Nachmieter gesucht,2025-08-21T13:29:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10266,INACTIVE
10264,Sublet until Christmas,2025-08-21T11:09:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10264,INACTIVE
10263,Nachmieter gesucht,2025-08-21T11:00:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10263,INACTIVE
10262,Sublet for 2 months (Possibility for permanent tenant),2025-08-20T20:41:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10262,INACTIVE
10261,Untermieter für 3-4 Wochen,2025-08-20T08:35:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10261,INACTIVE
10259,Nachmieter gesucht,2025-08-19T12:16:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10259,INACTIVE
10258,Sublet for 6 months,2025-08-19T09:35:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10258,INACTIVE
10257,Nachmieter gesucht,2025-08-19T09:19:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10257,INACTIVE
10256,Nachmieter gesucht,2025-08-19T07:37:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10256,INACTIVE
10255,sublet till end October,2025-08-17T17:31:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10255,INACTIVE
10253,Room in 3 people WG in Gubelstrasse,2025-08-17T13:26:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10253,INACTIVE
10250,Nachmieter gesucht,2025-08-13T12:03:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10250,INACTIVE
10249,Nachmieter gesucht,2025-08-13T11:35:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10249,INACTIVE
10248,Nachmieter gesucht,2025-08-11T07:53:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10248,INACTIVE
10247,Sublet for 3 weeks,2025-08-11T07:12:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10247,INACTIVE
10246,Room for Sublet – (20 days),2025-08-11T07:03:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10246,INACTIVE
10244,Nachmieter gesucht,2025-08-06T08:13:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10244,INACTIVE
10243,Sublet for two weeks,2025-08-04T19:58:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10243,INACTIVE
10240,Permanent room Bucheggstrasse,2025-07-30T18:29:00+00:00,Tenant,https://woko.ch/en/zimmer-in-zuerich-details/10240,INACTIVE
10239,Sublet 11 August-11 September,2025-07-30T08:44:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10239,INACTIVE
10238,Room Sublet (August),2025-07-28T16:33:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10238,INACTIVE
10236,3 Weeks Sublet,2025-07-26T09:25:00+00:00,Sublet,https://woko.ch/en/zimmer-in-zuerich-details/10236,INACTIVE
